color.text, "Use for primary text, such as body copy, sentence case headers, and buttons."
color.text.accent.lime, "Use for lime text on subtlest and subtler lime accent backgrounds when there is no meaning tied to the color."
color.text.accent.lime.bolder, "Use for lime text on subtle lime accent backgrounds when there is no meaning tied to the color."
color.text.accent.red, "Use for red text on subtlest and subtler red accent backgrounds when there is no meaning tied to the color."
color.text.accent.red.bolder, "Use for red text on subtle red accent backgrounds when there is no meaning tied to the color."
color.text.accent.orange, "Use for orange text on subtlest and subtler orange accent backgrounds when there is no meaning tied to the color."
color.text.accent.orange.bolder, "Use for orange text on subtle orange accent backgrounds when there is no meaning tied to the color."
color.text.accent.yellow, "Use for yellow text on subtlest and subtler yellow accent backgrounds when there is no meaning tied to the color."
color.text.accent.yellow.bolder, "Use for yellow text on subtle yellow accent backgrounds when there is no meaning tied to the color."
color.text.accent.green, "Use for green text on subtlest and subtler green accent backgrounds when there is no meaning tied to the color."
color.text.accent.green.bolder, "Use for green text on subtle green accent backgrounds when there is no meaning tied to the color."
color.text.accent.teal, "Use for teal text on subtlest and subtler teal accent backgrounds when there is no meaning tied to the color."
color.text.accent.teal.bolder, "Use for teal text on subtle teal accent backgrounds when there is no meaning tied to the color."
color.text.accent.blue, "Use for blue text on subtlest and subtler blue accent backgrounds when there is no meaning tied to the color."
color.text.accent.blue.bolder, "Use for blue text on subtle blue accent backgrounds when there is no meaning tied to the color."
color.text.accent.purple, "Use for purple text on subtlest and subtler purple accent backgrounds when there is no meaning tied to the color."
color.text.accent.purple.bolder, "Use for purple text on subtle purple accent backgrounds when there is no meaning tied to the color."
color.text.accent.magenta, "Use for magenta text on subtlest and subtler magenta accent backgrounds when there is no meaning tied to the color."
color.text.accent.magenta.bolder, "Use for magenta text on subtle magenta accent backgrounds when there is no meaning tied to the color."
color.text.accent.gray, "Use for text on non-bold gray accent backgrounds, such as colored tags."
color.text.accent.gray.bolder, "Use for text and icons on gray subtle accent backgrounds."
color.text.disabled, "Use for text in a disabled state."
color.text.inverse, "Use for text on bold backgrounds."
color.text.selected, "Use for text in selected or opened states, such as tabs and dropdown buttons."
color.text.brand, "Use for text that reinforces our brand."
color.text.danger, "Use for critical text, such as input field error messaging."
color.text.warning, "Use for text to emphasize caution, such as in moved lozenges."
color.text.warning.inverse, "Use for text when on bold warning backgrounds."
color.text.success, "Use for text to communicate a favorable outcome, such as input field success messaging."
color.text.discovery, "Use for text to emphasize change or something new, such as in new lozenges."
